Temperature;Binders_cumulant;Temperature;Binders_cumulant;Temperature;Binders_cumulant;;;;
3,6;0,13535166;3,6;0,067401752;3,6;0,096725596;;;;
3,7;0,040255036;3,7;-0,00400297;3,7;0,07899239;;;;
3,8;0,050046982;3,8;0,099182;3,8;0,002613659;;;;
3,9;0,143798683;3,9;0,001488765;3,9;0,141292718;;;;
4;0,14197304;4;-0,049478054;4;0,055143072;;;;
4,1;0,042067414;4,1;-0,090261632;4,1;-0,091764915;;;;
4,2;0,136796221;4,2;0,114562147;4,2;0,04868959;;;;
4,3;0,116970164;4,3;-0,025997672;4,3;-0,008815026;;;;
4,4;0,107717864;4,4;0,012901217;4,4;-0,149403244;;;;
4,5;-0,001251427;4,5;-0,005258642;4,5;0,0499716;;;;
4,6;0,087330322;4,6;0,019628333;4,6;-0,070183655;;;;
4,7;0,091636435;4,7;0,007103274;4,7;0,124058663;;;;
4,8;0,051198843;4,8;0,057939696;4,8;-0,016984029;;;;
4,9;-0,373883556;4,9;0,136155645;4,9;-0,005872127;;;;
5;-0,055380768;5;0,020718595;5;-0,042227767;;;;
5,1;0,042246661;5,1;-0,415042526;5,1;-0,037757346;;;;
5,2;0,065081994;5,2;-0,023495478;5,2;0,054524922;;;;
5,3;-0,001325763;5,3;-0,088729739;5,3;-0,304067834;;;;
5,4;0,089425554;5,4;-0,22114175;5,4;-0,07177265;;;;
5,5;0,124421435;5,5;0,104336369;5,5;-0,175020208;;;;
5,6;-0,047306554;5,6;0,145463519;5,6;-0,175197499;;;;
5,7;0,076818088;5,7;0,151350677;5,7;0,033796876;;;;
5,8;-0,056237311;5,8;0,106378832;5,8;-0,208356854;;;;
5,9;0,115949186;5,9;-0,026966648;5,9;-0,044986992;;;;
6;0,160224825;6;-0,046848125;6;0,068090571;;;;
