Temperature,Binders_cumulant
0.1,0.6666666666666667
0.2,0.6666666666666667
0.3,0.6666666666666667
0.4,0.6666666666666667
0.5,0.6666666666666667
0.6,0.6666666662867009
0.7,0.66666666192497
0.7999999999999999,0.6666666511851258
0.8999999999999999,0.6666666138244202
0.9999999999999999,0.666666509902782
1.0999999999999999,0.6666663285558283
1.2,0.6666659741940948
1.3,0.6666652061738576
1.4,0.6666645481836737
1.5,0.6666632389340728
1.55,0.6666606467936278
1.5745762711864406,0.6666613893213362
1.5991525423728814,0.6666588704167823
1.623728813559322,0.6666587792456906
1.6483050847457628,0.6666584723543654
1.6728813559322033,0.6666569223686641
1.6974576271186441,0.6666547743918515
1.7220338983050847,0.6666555983799312
1.7466101694915255,0.666652126998228
1.771186440677966,0.6666461778566657
1.7957627118644068,0.666644610409205
1.8203389830508474,0.666640293474739
1.8449152542372882,0.6666422851832319
1.8694915254237288,0.6666395922554116
1.8940677966101696,0.6666332932690338
1.9186440677966101,0.6666211983302277
1.943220338983051,0.6666172723423326
1.9677966101694915,0.6666025399111909
1.9923728813559323,0.6665879714651932
2.016949152542373,0.666567649265134
2.0415254237288134,0.6665436268562986
2.066101694915254,0.6665025132938398
2.090677966101695,0.6664571531883603
2.1152542372881356,0.6663223523692743
2.139830508474576,0.6662475860186501
2.164406779661017,0.666076801057965
2.1889830508474577,0.6652450369875471
2.2135593220338983,0.663921076764112
2.238135593220339,0.6595116687561604
2.2627118644067794,0.6269037991202056
2.2872881355932204,0.4956956646759314
2.311864406779661,0.30357041870767953
2.3364406779661016,0.15068503086328455
2.3610169491525426,0.21174362800745938
2.385593220338983,0.03129847423027465
2.4101694915254237,0.13764359281482752
2.4347457627118643,0.12229462730157015
2.459322033898305,-0.0691145394462156
2.483898305084746,0.13166618981351774
2.5084745762711864,0.07092912271782648
2.533050847457627,-0.007384518534943485
2.557627118644068,0.047953342257563536
2.582203389830508,0.18157858761229462
2.606779661016949,0.22015154308701512
2.6313559322033897,-0.05912951302109759
2.6559322033898303,0.05762712738289555
2.6805084745762713,0.04388157781848323
2.705084745762712,-0.3454034282756808
2.7296610169491524,-0.032048581662647235
2.7542372881355934,0.10683595543264524
2.7788135593220336,0.0998696091200264
2.8033898305084746,0.01952729096915984
2.827966101694915,0.06858049862007265
2.8525423728813557,-0.06289297289480067
2.8771186440677967,0.08695984835257209
2.9016949152542373,-0.13387458521793105
2.926271186440678,0.07749237195557324
2.950847457627119,-0.019479249231362683
2.975423728813559,-0.3086284081493962
3.0,0.011624556950471265
3.1,-0.10551234819836908
3.2,0.07862717266393782
3.3000000000000003,0.0685885763402152
3.4,0.09889498215814163
3.5,0.1432417931217448
3.6,0.09672559580061724
3.7,0.07899239028832306
3.8,0.002613658788671147
3.9,0.14129271832554113
4.0,0.05514307156892517
4.1,-0.0917649151385127
4.2,0.048689590398619975
4.3,-0.008815025997411352
4.4,-0.1494032436056678
4.5,0.049971599908000264
4.6,-0.07018365507331126
4.7,0.1240586634611458
4.8,-0.016984028657229144
4.9,-0.005872126809779443
5.0,-0.04222776730676481
5.1,-0.0377573459894045
5.199999999999999,0.05452492193518921
5.3,-0.3040678336348721
5.4,-0.07177264957500329
5.5,-0.1750202077103884
5.6,-0.17519749911838844
5.699999999999999,0.033796875645531466
5.8,-0.20835685355365863
5.9,-0.0449869921255579
6.0,0.06809057056814527
